dateid,date,dayofweek,month,year,quarter
308,2020-11-03,Tuesday,11,2020,4
309,2020-11-04,Wednesday,11,2020,4
310,2020-11-05,Thursday,11,2020,4
311,2020-11-06,Friday,11,2020,4
312,2020-11-07,Saturday,11,2020,4
313,2020-11-08,Sunday,11,2020,4
314,2020-11-09,Monday,11,2020,4
315,2020-11-10,Tuesday,11,2020,4
316,2020-11-11,Wednesday,11,2020,4
317,2020-11-12,Thursday,11,2020,4
318,2020-11-13,Friday,11,2020,4
319,2020-11-14,Saturday,11,2020,4
320,2020-11-15,Sunday,11,2020,4
321,2020-11-16,Monday,11,2020,4
322,2020-11-17,Tuesday,11,2020,4
323,2020-11-18,Wednesday,11,2020,4
324,2020-11-19,Thursday,11,2020,4
325,2020-11-20,Friday,11,2020,4
326,2020-11-21,Saturday,11,2020,4
327,2020-11-22,Sunday,11,2020,4
328,2020-11-23,Monday,11,2020,4
329,2020-11-24,Tuesday,11,2020,4
330,2020-11-25,Wednesday,11,2020,4
331,2020-11-26,Thursday,11,2020,4
332,2020-11-27,Friday,11,2020,4
333,2020-11-28,Saturday,11,2020,4
334,2020-11-29,Sunday,11,2020,4
335,2020-11-30,Monday,11,2020,4
336,2020-12-01,Tuesday,12,2020,4
337,2020-12-02,Wednesday,12,2020,4
338,2020-12-03,Thursday,12,2020,4
339,2020-12-04,Friday,12,2020,4
340,2020-12-05,Saturday,12,2020,4
341,2020-12-06,Sunday,12,2020,4
342,2020-12-07,Monday,12,2020,4
343,2020-12-08,Tuesday,12,2020,4
344,2020-12-09,Wednesday,12,2020,4
345,2020-12-10,Thursday,12,2020,4
346,2020-12-11,Friday,12,2020,4
347,2020-12-12,Saturday,12,2020,4
348,2020-12-13,Sunday,12,2020,4
349,2020-12-14,Monday,12,2020,4
350,2020-12-15,Tuesday,12,2020,4
351,2020-12-16,Wednesday,12,2020,4
352,2020-12-17,Thursday,12,2020,4
353,2020-12-18,Friday,12,2020,4
354,2020-12-19,Saturday,12,2020,4
355,2020-12-20,Sunday,12,2020,4
356,2020-12-21,Monday,12,2020,4
357,2020-12-22,Tuesday,12,2020,4
358,2020-12-23,Wednesday,12,2020,4
359,2020-12-24,Thursday,12,2020,4
360,2020-12-25,Friday,12,2020,4
361,2020-12-26,Saturday,12,2020,4
362,2020-12-27,Sunday,12,2020,4
363,2020-12-28,Monday,12,2020,4
364,2020-12-29,Tuesday,12,2020,4
365,2020-12-30,Wednesday,12,2020,4
366,2020-12-31,Thursday,12,2020,4
