customerid,customername,customersegment,country,city
57,Customer 57,Segment C,Country A,City A
58,Customer 58,Segment A,Country B,City A
59,Customer 59,Segment C,Country B,City D
60,Customer 60,Segment A,Country B,City A
61,Customer 61,Segment C,Country A,City E
62,Customer 62,Segment B,Country B,City C
63,Customer 63,Segment B,Country C,City E
64,Customer 64,Segment B,Country A,City C
65,Customer 65,Segment A,Country B,City B
66,Customer 66,Segment B,Country B,City B
67,Customer 67,Segment C,Country B,City E
68,Customer 68,Segment C,Country B,City B
69,Customer 69,Segment A,Country A,City E
70,Customer 70,Segment C,Country B,City D
71,Customer 71,Segment C,Country A,City B
72,Customer 72,Segment B,Country C,City C
73,Customer 73,Segment A,Country A,City B
74,Customer 74,Segment C,Country B,City A
75,Customer 75,Segment B,Country A,City E
76,Customer 76,Segment C,Country B,City A
77,Customer 77,Segment C,Country C,City E
78,Customer 78,Segment B,Country C,City C
79,Customer 79,Segment B,Country A,City C
80,Customer 80,Segment C,Country A,City E
81,Customer 81,Segment B,Country A,City D
82,Customer 82,Segment A,Country B,City B
83,Customer 83,Segment A,Country B,City E
84,Customer 84,Segment A,Country C,City D
85,Customer 85,Segment A,Country C,City C
86,Customer 86,Segment B,Country C,City D
87,Customer 87,Segment B,Country C,City E
88,Customer 88,Segment C,Country A,City B
89,Customer 89,Segment A,Country A,City D
90,Customer 90,Segment A,Country A,City C
91,Customer 91,Segment A,Country A,City B
92,Customer 92,Segment C,Country B,City C
93,Customer 93,Segment A,Country B,City A
94,Customer 94,Segment B,Country B,City B
95,Customer 95,Segment A,Country B,City C
96,Customer 96,Segment A,Country C,City B
97,Customer 97,Segment B,Country C,City D
98,Customer 98,Segment C,Country B,City E
99,Customer 99,Segment A,Country B,City E
100,Customer 100,Segment C,Country B,City A
101,Customer 101,Segment B,Country B,City B
102,Customer 102,Segment A,Country A,City D
103,Customer 103,Segment B,Country A,City D
104,Customer 104,Segment A,Country A,City D
105,Customer 105,Segment B,Country C,City B
106,Customer 106,Segment B,Country A,City C
107,Customer 107,Segment C,Country C,City C
108,Customer 108,Segment A,Country C,City D
109,Customer 109,Segment B,Country C,City A
110,Customer 110,Segment C,Country B,City E
111,Customer 111,Segment B,Country C,City E
112,Customer 112,Segment A,Country C,City A
113,Customer 113,Segment C,Country A,City B
114,Customer 114,Segment A,Country C,City B
115,Customer 115,Segment C,Country C,City A
116,Customer 116,Segment C,Country A,City C
117,Customer 117,Segment A,Country C,City C
118,Customer 118,Segment A,Country B,City D
119,Customer 119,Segment C,Country C,City B
120,Customer 120,Segment A,Country B,City D
121,Customer 121,Segment A,Country A,City A
122,Customer 122,Segment A,Country C,City E
123,Customer 123,Segment C,Country C,City A
124,Customer 124,Segment C,Country C,City A
125,Customer 125,Segment C,Country A,City D
126,Customer 126,Segment C,Country A,City B
127,Customer 127,Segment B,Country B,City D
128,Customer 128,Segment B,Country B,City B
129,Customer 129,Segment B,Country B,City E
130,Customer 130,Segment B,Country B,City A
131,Customer 131,Segment A,Country B,City E
132,Customer 132,Segment C,Country B,City A
133,Customer 133,Segment B,Country B,City A
134,Customer 134,Segment A,Country C,City D
135,Customer 135,Segment A,Country A,City E
136,Customer 136,Segment A,Country C,City E
137,Customer 137,Segment B,Country B,City B
138,Customer 138,Segment A,Country C,City A
139,Customer 139,Segment A,Country C,City C
140,Customer 140,Segment C,Country A,City C
141,Customer 141,Segment B,Country A,City A
142,Customer 142,Segment B,Country B,City B
143,Customer 143,Segment C,Country A,City C
144,Customer 144,Segment A,Country C,City E
145,Customer 145,Segment C,Country A,City C
146,Customer 146,Segment A,Country C,City D
147,Customer 147,Segment B,Country A,City B
148,Customer 148,Segment B,Country B,City B
149,Customer 149,Segment A,Country B,City B
150,Customer 150,Segment C,Country B,City E
151,Customer 151,Segment A,Country C,City A
152,Customer 152,Segment A,Country B,City D
153,Customer 153,Segment B,Country A,City D
154,Customer 154,Segment C,Country A,City A
155,Customer 155,Segment A,Country C,City B
156,Customer 156,Segment A,Country B,City C
157,Customer 157,Segment C,Country B,City B
158,Customer 158,Segment A,Country B,City B
159,Customer 159,Segment A,Country A,City A
160,Customer 160,Segment B,Country B,City C
161,Customer 161,Segment B,Country C,City C
162,Customer 162,Segment C,Country A,City A
163,Customer 163,Segment C,Country C,City B
164,Customer 164,Segment C,Country A,City C
165,Customer 165,Segment C,Country B,City E
166,Customer 166,Segment A,Country B,City B
167,Customer 167,Segment A,Country A,City A
168,Customer 168,Segment A,Country B,City A
169,Customer 169,Segment A,Country B,City B
170,Customer 170,Segment C,Country B,City D
171,Customer 171,Segment C,Country B,City D
172,Customer 172,Segment A,Country C,City C
173,Customer 173,Segment C,Country A,City C
174,Customer 174,Segment C,Country C,City E
175,Customer 175,Segment B,Country B,City B
176,Customer 176,Segment C,Country B,City C
177,Customer 177,Segment B,Country A,City E
178,Customer 178,Segment C,Country C,City A
179,Customer 179,Segment C,Country B,City C
180,Customer 180,Segment B,Country B,City C
181,Customer 181,Segment A,Country B,City A
182,Customer 182,Segment A,Country C,City C
183,Customer 183,Segment B,Country A,City D
184,Customer 184,Segment A,Country B,City D
185,Customer 185,Segment A,Country A,City C
186,Customer 186,Segment A,Country C,City A
187,Customer 187,Segment A,Country C,City E
188,Customer 188,Segment A,Country B,City B
189,Customer 189,Segment C,Country B,City B
190,Customer 190,Segment B,Country C,City B
191,Customer 191,Segment B,Country A,City E
192,Customer 192,Segment A,Country A,City A
193,Customer 193,Segment A,Country C,City D
194,Customer 194,Segment B,Country C,City C
195,Customer 195,Segment B,Country C,City A
196,Customer 196,Segment C,Country C,City E
197,Customer 197,Segment A,Country A,City C
198,Customer 198,Segment C,Country C,City D
199,Customer 199,Segment A,Country A,City A
200,Customer 200,Segment A,Country C,City E
201,Customer 201,Segment B,Country C,City E
202,Customer 202,Segment B,Country C,City D
203,Customer 203,Segment C,Country B,City D
204,Customer 204,Segment A,Country A,City D
205,Customer 205,Segment A,Country B,City A
206,Customer 206,Segment B,Country A,City C
207,Customer 207,Segment C,Country B,City E
208,Customer 208,Segment C,Country C,City D
209,Customer 209,Segment B,Country C,City A
210,Customer 210,Segment C,Country C,City B
211,Customer 211,Segment B,Country B,City C
212,Customer 212,Segment C,Country B,City D
213,Customer 213,Segment B,Country A,City D
214,Customer 214,Segment A,Country B,City D
215,Customer 215,Segment B,Country B,City C
216,Customer 216,Segment C,Country A,City D
217,Customer 217,Segment B,Country A,City A
218,Customer 218,Segment A,Country C,City A
219,Customer 219,Segment B,Country A,City E
220,Customer 220,Segment C,Country B,City C
221,Customer 221,Segment B,Country B,City A
222,Customer 222,Segment B,Country B,City C
223,Customer 223,Segment B,Country C,City B
224,Customer 224,Segment C,Country C,City C
225,Customer 225,Segment C,Country C,City C
226,Customer 226,Segment B,Country B,City E
227,Customer 227,Segment B,Country C,City B
228,Customer 228,Segment B,Country C,City A
229,Customer 229,Segment A,Country B,City B
230,Customer 230,Segment A,Country C,City E
231,Customer 231,Segment C,Country C,City B
232,Customer 232,Segment A,Country A,City D
233,Customer 233,Segment A,Country A,City D
234,Customer 234,Segment C,Country B,City A
235,Customer 235,Segment C,Country A,City E
236,Customer 236,Segment B,Country B,City C
237,Customer 237,Segment B,Country B,City C
238,Customer 238,Segment C,Country A,City D
239,Customer 239,Segment A,Country B,City A
240,Customer 240,Segment A,Country B,City B
241,Customer 241,Segment A,Country C,City E
242,Customer 242,Segment C,Country A,City D
243,Customer 243,Segment B,Country C,City B
244,Customer 244,Segment A,Country C,City C
245,Customer 245,Segment B,Country A,City D
246,Customer 246,Segment B,Country C,City E
247,Customer 247,Segment B,Country C,City A
248,Customer 248,Segment B,Country A,City D
249,Customer 249,Segment A,Country C,City E
250,Customer 250,Segment A,Country B,City B
251,Customer 251,Segment A,Country B,City D
252,Customer 252,Segment C,Country C,City A
253,Customer 253,Segment C,Country B,City A
254,Customer 254,Segment C,Country C,City E
255,Customer 255,Segment A,Country B,City C
256,Customer 256,Segment A,Country C,City D
257,Customer 257,Segment C,Country A,City A
258,Customer 258,Segment C,Country B,City D
259,Customer 259,Segment C,Country B,City A
260,Customer 260,Segment A,Country A,City E
261,Customer 261,Segment C,Country B,City D
262,Customer 262,Segment A,Country A,City A
263,Customer 263,Segment C,Country A,City B
264,Customer 264,Segment B,Country C,City B
265,Customer 265,Segment A,Country C,City E
266,Customer 266,Segment C,Country C,City D
267,Customer 267,Segment A,Country A,City C
268,Customer 268,Segment B,Country C,City E
269,Customer 269,Segment A,Country B,City E
270,Customer 270,Segment B,Country B,City B
271,Customer 271,Segment A,Country C,City A
272,Customer 272,Segment C,Country B,City A
273,Customer 273,Segment C,Country B,City A
274,Customer 274,Segment C,Country B,City E
275,Customer 275,Segment A,Country A,City E
276,Customer 276,Segment C,Country C,City D
277,Customer 277,Segment C,Country B,City A
278,Customer 278,Segment B,Country A,City C
279,Customer 279,Segment A,Country C,City C
280,Customer 280,Segment B,Country A,City E
281,Customer 281,Segment A,Country C,City A
282,Customer 282,Segment B,Country C,City C
283,Customer 283,Segment A,Country C,City C
284,Customer 284,Segment A,Country C,City D
285,Customer 285,Segment B,Country C,City C
286,Customer 286,Segment B,Country C,City D
287,Customer 287,Segment C,Country A,City E
288,Customer 288,Segment C,Country B,City B
289,Customer 289,Segment A,Country A,City D
290,Customer 290,Segment A,Country A,City C
291,Customer 291,Segment C,Country C,City D
292,Customer 292,Segment A,Country B,City C
293,Customer 293,Segment A,Country C,City B
294,Customer 294,Segment A,Country B,City B
295,Customer 295,Segment C,Country B,City B
296,Customer 296,Segment A,Country C,City A
297,Customer 297,Segment C,Country A,City B
298,Customer 298,Segment B,Country C,City C
299,Customer 299,Segment A,Country B,City D
300,Customer 300,Segment A,Country A,City E
301,Customer 301,Segment B,Country C,City C
302,Customer 302,Segment C,Country C,City B
303,Customer 303,Segment A,Country C,City E
304,Customer 304,Segment C,Country A,City E
305,Customer 305,Segment A,Country A,City B
306,Customer 306,Segment B,Country A,City D
307,Customer 307,Segment A,Country B,City D
308,Customer 308,Segment B,Country A,City A
309,Customer 309,Segment A,Country B,City C
310,Customer 310,Segment A,Country A,City D
311,Customer 311,Segment C,Country A,City C
312,Customer 312,Segment A,Country A,City C
313,Customer 313,Segment B,Country A,City D
314,Customer 314,Segment C,Country A,City E
315,Customer 315,Segment C,Country B,City D
316,Customer 316,Segment B,Country B,City B
317,Customer 317,Segment A,Country A,City E
318,Customer 318,Segment C,Country B,City D
319,Customer 319,Segment B,Country C,City C
320,Customer 320,Segment B,Country B,City D
321,Customer 321,Segment A,Country C,City E
322,Customer 322,Segment C,Country B,City D
323,Customer 323,Segment B,Country A,City D
324,Customer 324,Segment B,Country B,City B
325,Customer 325,Segment C,Country C,City E
326,Customer 326,Segment C,Country A,City D
327,Customer 327,Segment C,Country A,City B
328,Customer 328,Segment A,Country A,City B
329,Customer 329,Segment A,Country A,City E
330,Customer 330,Segment C,Country B,City D
331,Customer 331,Segment A,Country B,City B
332,Customer 332,Segment B,Country C,City B
333,Customer 333,Segment B,Country A,City E
334,Customer 334,Segment C,Country A,City C
335,Customer 335,Segment C,Country C,City E
336,Customer 336,Segment A,Country C,City A
337,Customer 337,Segment A,Country A,City E
338,Customer 338,Segment A,Country A,City B
339,Customer 339,Segment A,Country C,City C
340,Customer 340,Segment A,Country C,City A
341,Customer 341,Segment A,Country B,City C
342,Customer 342,Segment A,Country C,City C
343,Customer 343,Segment A,Country C,City A
344,Customer 344,Segment B,Country C,City D
345,Customer 345,Segment C,Country C,City D
346,Customer 346,Segment B,Country B,City D
347,Customer 347,Segment C,Country C,City D
348,Customer 348,Segment C,Country B,City C
349,Customer 349,Segment C,Country B,City E
350,Customer 350,Segment A,Country B,City A
351,Customer 351,Segment A,Country C,City B
352,Customer 352,Segment A,Country B,City A
353,Customer 353,Segment A,Country B,City E
354,Customer 354,Segment B,Country C,City B
355,Customer 355,Segment A,Country A,City C
356,Customer 356,Segment A,Country C,City C
357,Customer 357,Segment B,Country B,City C
358,Customer 358,Segment C,Country B,City E
359,Customer 359,Segment C,Country B,City C
360,Customer 360,Segment A,Country C,City D
361,Customer 361,Segment B,Country C,City D
362,Customer 362,Segment C,Country A,City D
363,Customer 363,Segment A,Country C,City E
364,Customer 364,Segment C,Country C,City B
365,Customer 365,Segment A,Country B,City B
366,Customer 366,Segment B,Country B,City C
367,Customer 367,Segment A,Country A,City D
368,Customer 368,Segment C,Country A,City D
369,Customer 369,Segment A,Country C,City D
370,Customer 370,Segment B,Country A,City A
371,Customer 371,Segment A,Country B,City B
372,Customer 372,Segment A,Country A,City D
373,Customer 373,Segment B,Country B,City B
374,Customer 374,Segment C,Country B,City A
375,Customer 375,Segment C,Country B,City A
376,Customer 376,Segment A,Country A,City C
377,Customer 377,Segment B,Country C,City C
378,Customer 378,Segment B,Country B,City E
379,Customer 379,Segment A,Country A,City E
380,Customer 380,Segment C,Country B,City C
381,Customer 381,Segment B,Country C,City A
382,Customer 382,Segment B,Country B,City B
383,Customer 383,Segment B,Country B,City A
384,Customer 384,Segment B,Country B,City A
385,Customer 385,Segment B,Country B,City C
386,Customer 386,Segment C,Country B,City E
387,Customer 387,Segment C,Country A,City D
388,Customer 388,Segment C,Country B,City B
389,Customer 389,Segment C,Country C,City A
390,Customer 390,Segment A,Country A,City A
391,Customer 391,Segment A,Country A,City E
392,Customer 392,Segment B,Country A,City A
393,Customer 393,Segment A,Country C,City C
394,Customer 394,Segment A,Country B,City D
395,Customer 395,Segment B,Country B,City C
396,Customer 396,Segment A,Country B,City B
397,Customer 397,Segment B,Country B,City A
398,Customer 398,Segment A,Country B,City D
399,Customer 399,Segment A,Country A,City A
400,Customer 400,Segment B,Country B,City C
401,Customer 401,Segment C,Country A,City B
402,Customer 402,Segment C,Country B,City D
403,Customer 403,Segment A,Country A,City D
404,Customer 404,Segment C,Country A,City D
405,Customer 405,Segment B,Country B,City E
406,Customer 406,Segment B,Country B,City E
407,Customer 407,Segment C,Country C,City D
408,Customer 408,Segment A,Country A,City C
409,Customer 409,Segment A,Country A,City D
410,Customer 410,Segment B,Country B,City D
411,Customer 411,Segment B,Country B,City B
412,Customer 412,Segment C,Country A,City E
413,Customer 413,Segment C,Country C,City A
414,Customer 414,Segment B,Country B,City C
415,Customer 415,Segment C,Country A,City B
416,Customer 416,Segment B,Country B,City A
417,Customer 417,Segment B,Country B,City D
418,Customer 418,Segment C,Country B,City B
419,Customer 419,Segment B,Country C,City B
420,Customer 420,Segment C,Country B,City E
421,Customer 421,Segment B,Country A,City E
422,Customer 422,Segment B,Country A,City D
423,Customer 423,Segment A,Country C,City A
424,Customer 424,Segment A,Country B,City D
425,Customer 425,Segment B,Country B,City E
426,Customer 426,Segment A,Country B,City A
427,Customer 427,Segment A,Country B,City A
428,Customer 428,Segment B,Country C,City D
429,Customer 429,Segment B,Country A,City D
430,Customer 430,Segment B,Country B,City E
431,Customer 431,Segment A,Country B,City C
432,Customer 432,Segment A,Country C,City B
433,Customer 433,Segment C,Country A,City A
434,Customer 434,Segment C,Country B,City A
435,Customer 435,Segment A,Country B,City C
436,Customer 436,Segment C,Country B,City D
437,Customer 437,Segment A,Country C,City E
438,Customer 438,Segment B,Country C,City E
439,Customer 439,Segment B,Country B,City B
440,Customer 440,Segment B,Country B,City B
441,Customer 441,Segment C,Country B,City E
442,Customer 442,Segment A,Country C,City E
443,Customer 443,Segment C,Country A,City E
444,Customer 444,Segment B,Country B,City E
445,Customer 445,Segment A,Country B,City A
446,Customer 446,Segment B,Country B,City B
447,Customer 447,Segment B,Country B,City A
448,Customer 448,Segment C,Country B,City D
449,Customer 449,Segment A,Country C,City A
450,Customer 450,Segment A,Country C,City E
451,Customer 451,Segment C,Country A,City D
452,Customer 452,Segment A,Country C,City E
453,Customer 453,Segment C,Country A,City C
454,Customer 454,Segment C,Country C,City E
455,Customer 455,Segment B,Country A,City D
456,Customer 456,Segment C,Country A,City A
457,Customer 457,Segment B,Country A,City A
458,Customer 458,Segment A,Country C,City A
459,Customer 459,Segment B,Country C,City C
460,Customer 460,Segment A,Country A,City C
461,Customer 461,Segment C,Country C,City E
462,Customer 462,Segment B,Country C,City E
463,Customer 463,Segment C,Country A,City E
464,Customer 464,Segment C,Country C,City E
465,Customer 465,Segment B,Country C,City B
466,Customer 466,Segment B,Country C,City C
467,Customer 467,Segment B,Country A,City D
468,Customer 468,Segment A,Country C,City A
469,Customer 469,Segment B,Country C,City A
470,Customer 470,Segment C,Country B,City A
471,Customer 471,Segment B,Country A,City E
472,Customer 472,Segment C,Country B,City E
473,Customer 473,Segment C,Country A,City B
474,Customer 474,Segment B,Country A,City E
475,Customer 475,Segment B,Country A,City D
476,Customer 476,Segment C,Country B,City A
477,Customer 477,Segment B,Country B,City C
478,Customer 478,Segment B,Country A,City E
479,Customer 479,Segment B,Country B,City B
480,Customer 480,Segment C,Country A,City B
481,Customer 481,Segment C,Country B,City D
482,Customer 482,Segment C,Country A,City D
483,Customer 483,Segment A,Country B,City A
484,Customer 484,Segment B,Country C,City A
485,Customer 485,Segment C,Country B,City C
486,Customer 486,Segment B,Country A,City A
487,Customer 487,Segment B,Country A,City C
488,Customer 488,Segment B,Country B,City E
489,Customer 489,Segment A,Country B,City B
490,Customer 490,Segment C,Country B,City D
491,Customer 491,Segment C,Country B,City A
492,Customer 492,Segment A,Country C,City B
493,Customer 493,Segment B,Country B,City E
494,Customer 494,Segment A,Country C,City A
495,Customer 495,Segment C,Country A,City C
496,Customer 496,Segment A,Country C,City A
497,Customer 497,Segment C,Country C,City C
498,Customer 498,Segment A,Country A,City C
499,Customer 499,Segment C,Country B,City B
500,Customer 500,Segment B,Country B,City D
501,Customer 501,Segment A,Country C,City D
502,Customer 502,Segment C,Country A,City D
503,Customer 503,Segment A,Country C,City C
504,Customer 504,Segment A,Country A,City C
505,Customer 505,Segment A,Country B,City B
506,Customer 506,Segment A,Country C,City A
507,Customer 507,Segment B,Country A,City D
508,Customer 508,Segment A,Country B,City D
509,Customer 509,Segment A,Country A,City E
510,Customer 510,Segment C,Country A,City D
511,Customer 511,Segment A,Country C,City C
512,Customer 512,Segment C,Country B,City C
513,Customer 513,Segment A,Country A,City B
514,Customer 514,Segment C,Country B,City C
515,Customer 515,Segment A,Country B,City C
516,Customer 516,Segment C,Country A,City C
517,Customer 517,Segment B,Country A,City D
518,Customer 518,Segment A,Country B,City C
519,Customer 519,Segment B,Country B,City A
520,Customer 520,Segment C,Country A,City B
521,Customer 521,Segment B,Country A,City B
522,Customer 522,Segment B,Country C,City C
523,Customer 523,Segment A,Country C,City D
524,Customer 524,Segment B,Country A,City C
525,Customer 525,Segment B,Country A,City E
526,Customer 526,Segment C,Country A,City C
527,Customer 527,Segment A,Country B,City D
528,Customer 528,Segment A,Country C,City B
529,Customer 529,Segment C,Country C,City B
530,Customer 530,Segment A,Country B,City B
531,Customer 531,Segment B,Country B,City C
532,Customer 532,Segment B,Country B,City A
533,Customer 533,Segment C,Country C,City E
534,Customer 534,Segment A,Country A,City B
535,Customer 535,Segment A,Country C,City B
536,Customer 536,Segment C,Country C,City D
537,Customer 537,Segment B,Country C,City D
538,Customer 538,Segment A,Country B,City A
539,Customer 539,Segment C,Country B,City E
540,Customer 540,Segment C,Country B,City B
541,Customer 541,Segment A,Country B,City B
542,Customer 542,Segment C,Country A,City A
543,Customer 543,Segment C,Country B,City C
544,Customer 544,Segment C,Country A,City D
545,Customer 545,Segment A,Country C,City D
546,Customer 546,Segment C,Country A,City B
547,Customer 547,Segment C,Country C,City C
548,Customer 548,Segment C,Country B,City E
549,Customer 549,Segment A,Country B,City C
550,Customer 550,Segment B,Country B,City A
551,Customer 551,Segment A,Country A,City E
552,Customer 552,Segment B,Country C,City B
553,Customer 553,Segment C,Country A,City C
554,Customer 554,Segment B,Country A,City B
555,Customer 555,Segment A,Country C,City E
556,Customer 556,Segment A,Country A,City D
557,Customer 557,Segment C,Country C,City A
558,Customer 558,Segment A,Country A,City E
559,Customer 559,Segment A,Country B,City D
560,Customer 560,Segment A,Country C,City E
561,Customer 561,Segment A,Country B,City E
562,Customer 562,Segment A,Country A,City D
563,Customer 563,Segment A,Country B,City E
564,Customer 564,Segment B,Country C,City D
565,Customer 565,Segment C,Country C,City C
566,Customer 566,Segment A,Country C,City A
567,Customer 567,Segment A,Country C,City C
568,Customer 568,Segment A,Country C,City D
569,Customer 569,Segment A,Country C,City A
570,Customer 570,Segment B,Country A,City B
571,Customer 571,Segment C,Country B,City B
572,Customer 572,Segment C,Country B,City E
573,Customer 573,Segment B,Country A,City E
574,Customer 574,Segment A,Country B,City E
575,Customer 575,Segment B,Country C,City C
576,Customer 576,Segment B,Country B,City A
577,Customer 577,Segment A,Country A,City E
578,Customer 578,Segment C,Country B,City C
579,Customer 579,Segment A,Country B,City B
580,Customer 580,Segment C,Country A,City A
581,Customer 581,Segment B,Country C,City A
582,Customer 582,Segment C,Country B,City B
583,Customer 583,Segment A,Country C,City B
584,Customer 584,Segment A,Country C,City A
585,Customer 585,Segment B,Country C,City C
586,Customer 586,Segment B,Country A,City D
587,Customer 587,Segment A,Country B,City C
588,Customer 588,Segment B,Country C,City A
589,Customer 589,Segment A,Country A,City A
590,Customer 590,Segment C,Country A,City E
591,Customer 591,Segment C,Country B,City A
592,Customer 592,Segment B,Country B,City E
593,Customer 593,Segment A,Country C,City B
594,Customer 594,Segment B,Country C,City B
595,Customer 595,Segment B,Country B,City E
596,Customer 596,Segment A,Country A,City B
597,Customer 597,Segment A,Country C,City D
598,Customer 598,Segment C,Country B,City C
599,Customer 599,Segment B,Country B,City E
600,Customer 600,Segment C,Country A,City A
601,Customer 601,Segment A,Country B,City D
602,Customer 602,Segment B,Country C,City B
603,Customer 603,Segment B,Country A,City A
604,Customer 604,Segment B,Country C,City A
605,Customer 605,Segment C,Country C,City B
606,Customer 606,Segment A,Country A,City C
607,Customer 607,Segment C,Country A,City A
608,Customer 608,Segment B,Country B,City C
609,Customer 609,Segment B,Country A,City C
610,Customer 610,Segment A,Country A,City B
611,Customer 611,Segment C,Country A,City A
612,Customer 612,Segment B,Country B,City B
613,Customer 613,Segment A,Country A,City B
614,Customer 614,Segment C,Country A,City E
615,Customer 615,Segment B,Country A,City E
616,Customer 616,Segment C,Country C,City B
617,Customer 617,Segment C,Country A,City D
618,Customer 618,Segment C,Country B,City A
619,Customer 619,Segment C,Country C,City D
620,Customer 620,Segment A,Country C,City C
621,Customer 621,Segment B,Country A,City B
622,Customer 622,Segment B,Country C,City E
623,Customer 623,Segment B,Country B,City C
624,Customer 624,Segment A,Country C,City D
625,Customer 625,Segment C,Country A,City E
626,Customer 626,Segment A,Country B,City C
627,Customer 627,Segment A,Country B,City D
628,Customer 628,Segment C,Country C,City E
629,Customer 629,Segment C,Country B,City E
630,Customer 630,Segment A,Country B,City B
631,Customer 631,Segment A,Country C,City C
632,Customer 632,Segment B,Country B,City E
633,Customer 633,Segment A,Country A,City C
634,Customer 634,Segment B,Country A,City A
635,Customer 635,Segment C,Country A,City B
636,Customer 636,Segment C,Country C,City D
637,Customer 637,Segment A,Country B,City C
638,Customer 638,Segment B,Country C,City C
639,Customer 639,Segment A,Country B,City A
640,Customer 640,Segment C,Country B,City A
641,Customer 641,Segment C,Country A,City C
642,Customer 642,Segment C,Country A,City D
643,Customer 643,Segment B,Country C,City D
644,Customer 644,Segment B,Country C,City E
645,Customer 645,Segment C,Country C,City A
646,Customer 646,Segment A,Country B,City D
647,Customer 647,Segment A,Country A,City E
648,Customer 648,Segment B,Country B,City A
649,Customer 649,Segment B,Country A,City B
650,Customer 650,Segment B,Country B,City D
651,Customer 651,Segment B,Country B,City A
652,Customer 652,Segment C,Country A,City B
653,Customer 653,Segment A,Country B,City D
654,Customer 654,Segment A,Country A,City D
655,Customer 655,Segment C,Country B,City A
656,Customer 656,Segment C,Country C,City D
657,Customer 657,Segment A,Country A,City C
658,Customer 658,Segment B,Country B,City A
659,Customer 659,Segment A,Country A,City D
660,Customer 660,Segment B,Country B,City C
661,Customer 661,Segment B,Country A,City A
662,Customer 662,Segment A,Country C,City B
663,Customer 663,Segment B,Country C,City A
664,Customer 664,Segment C,Country B,City D
665,Customer 665,Segment B,Country C,City E
666,Customer 666,Segment C,Country C,City D
667,Customer 667,Segment A,Country A,City A
668,Customer 668,Segment A,Country C,City B
669,Customer 669,Segment A,Country B,City D
670,Customer 670,Segment A,Country B,City D
671,Customer 671,Segment C,Country A,City E
672,Customer 672,Segment C,Country A,City D
673,Customer 673,Segment C,Country C,City D
674,Customer 674,Segment A,Country B,City C
675,Customer 675,Segment C,Country A,City E
676,Customer 676,Segment C,Country C,City A
677,Customer 677,Segment C,Country A,City C
678,Customer 678,Segment B,Country B,City A
679,Customer 679,Segment C,Country C,City C
680,Customer 680,Segment B,Country B,City D
681,Customer 681,Segment A,Country B,City A
682,Customer 682,Segment B,Country C,City B
683,Customer 683,Segment A,Country A,City D
684,Customer 684,Segment A,Country B,City E
685,Customer 685,Segment A,Country B,City E
686,Customer 686,Segment B,Country B,City B
687,Customer 687,Segment A,Country C,City B
688,Customer 688,Segment B,Country A,City E
689,Customer 689,Segment C,Country C,City B
690,Customer 690,Segment C,Country B,City D
691,Customer 691,Segment B,Country A,City E
692,Customer 692,Segment B,Country C,City D
693,Customer 693,Segment B,Country B,City B
694,Customer 694,Segment C,Country B,City D
695,Customer 695,Segment C,Country A,City C
696,Customer 696,Segment C,Country A,City C
697,Customer 697,Segment B,Country A,City E
698,Customer 698,Segment C,Country B,City C
